Code,Long,Lat,Name
411200,111.106682,34.362922,Sanmenxia
411300,112.283405,33.046328,Nanyang
411400,115.697065,34.291076,Shangqiu
411500,114.882100,32.081215,Xinyang
411600,114.877448,33.724958,Zhoukou
411700,114.147723,32.924310,Zhumadian
419001,112.392100,35.099413,Jiyuan
420100,114.338463,30.626243,Wuhan
420200,115.022172,29.928338,Huangshi
420300,110.441087,32.459089,Shiyan
420500,111.136046,30.748987,Yichang
420600,111.937802,31.934154,Xiangyang
420700,114.779993,30.368011,Ezhou
420800,112.609175,31.071173,Jinmen
420900,113.880253,31.119831,Xiaogan
421000,112.571602,29.995548,Jinzhou (Hubei)
421100,115.345946,30.720629,Huanggang
421200,114.174701,29.626078,Xianning
421300,113.424247,31.830089,Suizhou
422800,109.548790,30.191645,Enshi
429004,113.378824,30.290414,Xiantao
429005,112.757910,30.338186,Qianjiang
429006,113.115235,30.645944,Tianmen
429021,110.475788,31.594408,Shennongjia
430100,113.152471,28.228391,Changsha
430200,113.518029,27.118673,Zhuzhou
430300,112.602318,27.733707,Xiangtan
430400,112.573019,26.793002,Hengyang
430500,110.916891,26.872791,Shaoyang
430600,113.254138,29.065210,Yueyang
430700,111.522590,29.298672,Changde
430800,110.480140,29.117665,Zhangjiajie
430900,111.950570,28.574138,Yiyang
431000,113.135092,25.812007,Chenzhou
431100,111.769784,25.692903,Yongzhou
431200,110.074011,27.546820,Huaihua
431300,111.611610,27.740253,Loudi
433100,109.727324,28.694853,Xiangxi
440100,113.536046,23.354201,Guangzhou
440200,113.771771,24.818161,Shaoguan
440300,114.135195,22.654701,Shenzhen
440400,113.359665,22.174456,Zhuhai
440500,116.555661,23.330602,Shantou
440600,112.945063,23.012954,Foshan
440700,112.669382,22.281232,Jiangmen
440800,110.164424,21.094205,zhanjiang
440900,110.952928,22.015374,Maoming
441200,112.202118,23.540297,Zhaoqing
441300,114.496790,23.245085,Huizhou
441400,116.078723,24.202020,Meizhou
441500,115.531749,23.015273,Shanwei
441600,114.957330,24.042677,Heyuan
441700,111.774358,22.037941,Yangjiang
441800,112.873709,24.312320,Qingyuan
441900,113.876318,22.935404,Dongguan
442000,113.389441,22.522217,Zhongshan
445100,116.780647,23.783605,Chaozhou
445200,116.116552,23.337743,Jieyang
445300,111.795963,22.815793,Yunfu
450100,108.463382,23.058743,Nannig
450200,109.379116,24.938964,Liuzhou (Guangxi)
450300,110.512074,25.353418,Guilin
